"group";"year";"week";"value"
"65to74";2019;47;120
"65to74";2019;48;-19
"65to74";2019;49;447
"65to74";2019;50;523
"65to74";2019;51;601
"65to74";2019;52;68
"65to74";2020;0;0
"65to74";2020;1;512
"65to74";2020;2;679
"65to74";2020;3;431
"65to74";2020;4;586
"65to74";2020;5;633
"65to74";2020;6;328
"65to74";2020;7;267
"65to74";2020;8;34
"65to74";2020;9;110
"65to74";2020;10;276
"65to74";2020;11;825
"65to74";2020;12;2079
"65to74";2020;13;3889
"65to74";2020;14;4971
"65to74";2020;15;4334
"65to74";2020;16;2815
"65to74";2020;17;1826
"65to74";2020;18;941
"65to74";2020;19;623
"65to74";2020;20;243
"65to74";2020;21;81
"65to74";2020;22;12
"65to74";2020;23;32
"65to74";2020;24;-168
"65to74";2020;25;-65
"65to74";2020;26;564
"65to74";2020;27;125
"65to74";2020;28;-227
"65to74";2020;29;27
"65to74";2020;30;170
"65to74";2020;31;337
"65to74";2020;32;398
"65to74";2020;33;1050
"65to74";2020;34;248
"65to74";2020;35;48
"65to74";2020;36;177
"65to74";2020;37;393
"65to74";2020;38;339
"65to74";2020;39;557
"65to74";2020;40;723
"65to74";2020;41;627
"65to74";2020;42;852
"65to74";2020;43;1516
"65to74";2020;44;2053
"65to74";2020;45;2255
"65to74";2020;46;2491
"65to74";2020;47;2367
"65to74";2020;48;2546
"65to74";2020;49;2836
"65to74";2020;50;2550
"65to74";2020;51;2647
"65to74";2020;52;2675
"65to74";2021;0;0
"65to74";2021;1;2778
"65to74";2021;2;3476
"65to74";2021;3;3596
"65to74";2021;4;3156
"65to74";2021;5;2467
"65to74";2021;6;1843
"65to74";2021;7;1752
"65to74";2021;8;925
"65to74";2021;9;914
"65to74";2021;10;1259
"65to74";2021;11;1237
"65to74";2021;12;1376
"65to74";2021;13;1421
"65to74";2021;14;1672
"65to74";2021;15;1505
"65to74";2021;16;1618
"65to74";2021;17;1327
"65to74";2021;18;1611
"65to74";2021;19;937
"65to74";2021;20;897
"65to74";2021;21;368
"65to74";2021;22;604
"65to74";2021;23;613
"65to74";2021;24;664
"65to74";2021;25;339
"65to74";2021;26;548
"65to74";2021;27;576
"65to74";2021;28;781
"65to74";2021;29;931
"65to74";2021;30;765
"65to74";2021;31;816
"65to74";2021;32;1047
"65to74";2021;33;886
"65to74";2021;34;854
"65to74";2021;35;1018
"65to74";2021;36;1314
"65to74";2021;37;802
"65to74";2021;38;662
"65to74";2021;39;899
"65to74";2021;40;819
"65to74";2021;41;1150
"65to74";2021;42;997
"65to74";2021;43;1336
"65to74";2021;44;1318
"65to74";2021;45;1582
"65to74";2021;46;1556
"65to74";2021;47;1649
"65to74";2021;48;655
"75to84";2019;0;0
"75to84";2019;1;715
"75to84";2019;2;1627
"75to84";2019;3;1621
"75to84";2019;4;1735
"75to84";2019;5;1888
"75to84";2019;6;2127
"75to84";2019;7;1843
"75to84";2019;8;1110
"75to84";2019;9;1353
"75to84";2019;10;972
"75to84";2019;11;629
"75to84";2019;12;-203
"75to84";2019;13;59
"75to84";2019;14;294
"75to84";2019;15;-33
"75to84";2019;16;306
"75to84";2019;17;217
"75to84";2019;18;-196
"75to84";2019;19;279
"75to84";2019;20;223
"75to84";2019;21;300
"75to84";2019;22;-140
"75to84";2019;23;369
"75to84";2019;24;128
"75to84";2019;25;278
"75to84";2019;26;1007
"75to84";2019;27;664
"75to84";2019;28;202
"75to84";2019;29;255
"75to84";2019;30;2332
"75to84";2019;31;272
"75to84";2019;32;370
"75to84";2019;33;-277
"75to84";2019;34;122
"75to84";2019;35;666
"75to84";2019;36;-297
"75to84";2019;37;-154
"75to84";2019;38;-175
"75to84";2019;39;322
"75to84";2019;40;51
"75to84";2019;41;530
"75to84";2019;42;339
"75to84";2019;43;31
"75to84";2019;44;145
"75to84";2019;45;34
"75to84";2019;46;709
"75to84";2019;47;461
"75to84";2019;48;321
"75to84";2019;49;318
"75to84";2019;50;730
"75to84";2019;51;874
"75to84";2019;52;205
"75to84";2020;0;0
"75to84";2020;1;319
"75to84";2020;2;1088
"75to84";2020;3;594
"75to84";2020;4;349
"75to84";2020;5;963
"75to84";2020;6;11
"75to84";2020;7;559
"75to84";2020;8;-127
"75to84";2020;9;342
"75to84";2020;10;458
"75to84";2020;11;1151
"75to84";2020;12;3791
"75to84";2020;13;8344
"75to84";2020;14;11387
"75to84";2020;15;10811
"75to84";2020;16;7496
"75to84";2020;17;4569
"75to84";2020;18;2664
"75to84";2020;19;1634
"75to84";2020;20;589
"75to84";2020;21;456
"75to84";2020;22;-207
"75to84";2020;23;90
"75to84";2020;24;-75
"75to84";2020;25;-148
"75to84";2020;26;468
"75to84";2020;27;-17
"75to84";2020;28;54
"75to84";2020;29;518
"75to84";2020;30;462
"75to84";2020;31;1268
"75to84";2020;32;1006
"75to84";2020;33;2620
"75to84";2020;34;653
"75to84";2020;35;292
"75to84";2020;36;268
